Assigned sample,Ind,Sample_Pop,Assign_Pop_1,Percent_1,Assign_Pop_2,Percent_2,Assign_Pop_3,Percent_3
/AP,QAc-G-0029,Pryor,Magazine_Pryor_Kessler,92.612,Sugarloaf,6.648,Porter,0.74
/AP,QAc-G-0030,Pryor,Magazine_Pryor_Kessler,99.913,Porter,0.06,Sugarloaf,0.027
/Arnold,QAc-G-0061,Pryor,Porter,75.043,Magazine_Pryor_Kessler,24.957,Sugarloaf,0
/Arnold,QAc-G-0062,Pryor,Magazine_Pryor_Kessler,99.994,Porter,0.006,Sugarloaf,0
/Arnold,QAc-G-0063,Magazine,Magazine_Pryor_Kessler,99.948,Porter,0.052,Sugarloaf,0
/Arnold,QAc-G-0064,Magazine,Porter,99.278,Magazine_Pryor_Kessler,0.722,Sugarloaf,0
/Arnold,QAc-G-0065,Magazine,Porter,77.644,Magazine_Pryor_Kessler,22.356,Sugarloaf,0
/Arnold,QAc-G-0066,Magazine,Magazine_Pryor_Kessler,65.94,Porter,34.041,Sugarloaf,0.018
/Arnold,QAc-G-0067,Magazine,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/Arnold,QAc-G-0068,Magazine,Magazine_Pryor_Kessler,99.782,Sugarloaf,0.203,Porter,0.014
/Arnold,QAc-G-0070,Magazine,Magazine_Pryor_Kessler,95.7,Porter,4.118,Sugarloaf,0.182
/Arnold,QAc-G-0071,Magazine,Magazine_Pryor_Kessler,99.618,Porter,0.382,Sugarloaf,0
/Arnold,QAc-G-0072,Magazine,Magazine_Pryor_Kessler,93.596,Porter,6.398,Sugarloaf,0.006
/Arnold,QAc-G-0073,Porter,Magazine_Pryor_Kessler,94.14,Porter,5.834,Sugarloaf,0.026
/Arnold,QAc-G-0074,Porter,Porter,98.338,Magazine_Pryor_Kessler,1.656,Sugarloaf,0.006
/Arnold,QAc-G-0075,Porter,Magazine_Pryor_Kessler,99.4,Sugarloaf,0.597,Porter,0.004
/Arnold,QAc-G-0076,Porter,Porter,99.996,Magazine_Pryor_Kessler,0.004,Sugarloaf,0
/Arnold,QAc-G-0080,Pryor,Magazine_Pryor_Kessler,100,Sugarloaf,0,Porter,0
/Arnold,QAc-G-0081,Pryor,Magazine_Pryor_Kessler,99.113,Sugarloaf,0.786,Porter,0.101
/Arnold,QAc-G-0082,Sugarloaf,Magazine_Pryor_Kessler,100,Sugarloaf,0,Porter,0
/Arnold,QAc-G-0083,Sugarloaf,Magazine_Pryor_Kessler,89.848,Porter,10.152,Sugarloaf,0
/Bartlett,QAc-G-0001,Sugarloaf,Magazine_Pryor_Kessler,94.096,Porter,5.904,Sugarloaf,0
/CBG,QAc-G-0285,,Magazine_Pryor_Kessler,99.923,Porter,0.077,Sugarloaf,0
/CBG,QAc-G-0286,,Magazine_Pryor_Kessler,97.019,Porter,2.981,Sugarloaf,0.001
/CBG,QAc-G-0287,,Magazine_Pryor_Kessler,99.995,Porter,0.005,Sugarloaf,0
/CBG,QAc-G-0288,,Sugarloaf,60.914,Magazine_Pryor_Kessler,31.212,Porter,7.875
/CBG,QAc-G-0292,,Magazine_Pryor_Kessler,99.993,Porter,0.007,Sugarloaf,0
/CBG,QAc-G-0294,,Porter,99.963,Magazine_Pryor_Kessler,0.035,Sugarloaf,0.002
/CBG,QAc-G-0295,,Magazine_Pryor_Kessler,99.998,Porter,0.002,Sugarloaf,0
/CBG,QAc-G-0296,,Magazine_Pryor_Kessler,86.166,Porter,13.346,Sugarloaf,0.487
/CBG,QAc-G-0297,,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/CBG,QAc-G-0298,,Magazine_Pryor_Kessler,99.575,Porter,0.408,Sugarloaf,0.017
/CBG,QAc-G-0299,,Magazine_Pryor_Kessler,51.295,Porter,47.939,Sugarloaf,0.766
/CBG,QAc-G-0300,,Magazine_Pryor_Kessler,97.381,Porter,2.618,Sugarloaf,0
/CBG,QAc-G-0301,,Magazine_Pryor_Kessler,99.98,Porter,0.019,Sugarloaf,0.001
/CBG,QAc-G-0302,,Magazine_Pryor_Kessler,99.958,Porter,0.041,Sugarloaf,0
/CBG,QAc-G-0303,,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/CBG,QAc-G-0305,,Magazine_Pryor_Kessler,79.625,Porter,15.601,Sugarloaf,4.774
/CBG,QAc-G-0307,,Magazine_Pryor_Kessler,99.996,Porter,0.004,Sugarloaf,0
/CBG,QAc-G-0308,,Magazine_Pryor_Kessler,90.575,Porter,8.904,Sugarloaf,0.52
/CBG,QAc-G-0309,,Magazine_Pryor_Kessler,99.467,Porter,0.513,Sugarloaf,0.02
/CBG,QAc-G-0312,,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/CBG,QAc-G-0313,,Magazine_Pryor_Kessler,99.35,Porter,0.626,Sugarloaf,0.024
/CBG,QAc-G-0314,,Magazine_Pryor_Kessler,79.789,Sugarloaf,16.631,Porter,3.581
/CBG,QAc-G-0315,,Porter,70.048,Magazine_Pryor_Kessler,26.958,Sugarloaf,2.994
/CBG,QAc-G-0316,,Magazine_Pryor_Kessler,99.941,Porter,0.055,Sugarloaf,0.005
/DBG,QAc-G-0032,Magazine,Magazine_Pryor_Kessler,100,Sugarloaf,0,Porter,0
/DBG,QAc-G-0033,Porter,Sugarloaf,97.33,Magazine_Pryor_Kessler,1.367,Porter,1.302
/DBG,QAc-G-0034,Porter,Magazine_Pryor_Kessler,99.881,Sugarloaf,0.115,Porter,0.003
/DBG,QAc-G-0035,Porter,Magazine_Pryor_Kessler,99.219,Sugarloaf,0.747,Porter,0.034
/DBG,QAc-G-0036,Porter,Sugarloaf,95.171,Magazine_Pryor_Kessler,4.804,Porter,0.026
/DBG,QAc-G-0037,Porter,Magazine_Pryor_Kessler,64.091,Porter,35.904,Sugarloaf,0.005
/DBG,QAc-G-0038,Porter,Magazine_Pryor_Kessler,96.103,Porter,3.885,Sugarloaf,0.012
/DBG,QAc-G-0039,Porter,Porter,99.242,Magazine_Pryor_Kessler,0.473,Sugarloaf,0.284
/DBG,QAc-G-0040,Porter,Porter,97.35,Magazine_Pryor_Kessler,2.62,Sugarloaf,0.03
/DBG,QAc-G-0045,Porter,Porter,93.142,Magazine_Pryor_Kessler,6.633,Sugarloaf,0.225
/DBG,QAc-G-0049,Pryor,Magazine_Pryor_Kessler,99.917,Porter,0.082,Sugarloaf,0
/DBG,QAc-G-0050,Pryor,Magazine_Pryor_Kessler,99.879,Porter,0.121,Sugarloaf,0
/DBG,QAc-G-0052,Pryor,Magazine_Pryor_Kessler,100,Sugarloaf,0,Porter,0
/DBG,QAc-G-0053,Pryor,Magazine_Pryor_Kessler,78.033,Sugarloaf,21.848,Porter,0.119
/DBG,QAc-G-0054,Pryor,Magazine_Pryor_Kessler,99.927,Sugarloaf,0.066,Porter,0.007
/DBG,QAc-G-0056,Pryor,Magazine_Pryor_Kessler,98.18,Porter,1.813,Sugarloaf,0.007
/FGT,QAc-G-0276,Magazine,Porter,72.921,Magazine_Pryor_Kessler,27.074,Sugarloaf,0.005
/FGT,QAc-G-0279,Porter,Magazine_Pryor_Kessler,83.769,Porter,16.068,Sugarloaf,0.163
/FGT,QAc-G-0280,Porter,Magazine_Pryor_Kessler,74.284,Porter,25.716,Sugarloaf,0
/FGT,QAc-G-0281,Pryor,Magazine_Pryor_Kessler,60.57,Porter,39.43,Sugarloaf,0
/HBG,QAc-G-0018,Porter,Magazine_Pryor_Kessler,99.772,Porter,0.228,Sugarloaf,0
/HBG,QAc-G-0019,Porter,Magazine_Pryor_Kessler,98.991,Porter,0.736,Sugarloaf,0.273
/HBG,QAc-G-0020,Porter,Porter,98.777,Magazine_Pryor_Kessler,1.193,Sugarloaf,0.031
/HBG,QAc-G-0021,Pryor,Porter,99.986,Magazine_Pryor_Kessler,0.014,Sugarloaf,0
/HBG,QAc-G-0023,Pryor,Magazine_Pryor_Kessler,99.986,Sugarloaf,0.012,Porter,0.002
/HBG,QAc-G-0016,Porter,Magazine_Pryor_Kessler,99.999,Sugarloaf,0.001,Porter,0
/HBG,QAc-G-0017,Porter,Magazine_Pryor_Kessler,99.976,Porter,0.023,Sugarloaf,0.001
/Meis,QAc-G-0250,,Porter,99.952,Magazine_Pryor_Kessler,0.048,Sugarloaf,0
/MBG,QAc-G-0003,,Porter,94.551,Magazine_Pryor_Kessler,5.437,Sugarloaf,0.012
/MBG,QAc-G-0004,,Magazine_Pryor_Kessler,100,Sugarloaf,0,Porter,0
/MBG,QAc-G-0005,,Magazine_Pryor_Kessler,99.98,Porter,0.02,Sugarloaf,0
/MBG,QAc-G-0006,,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/Moore,QAc-G-0283,,Magazine_Pryor_Kessler,99.987,Sugarloaf,0.013,Porter,0
/MA,QAc-G-0265,Pryor,Sugarloaf,83.138,Magazine_Pryor_Kessler,14.255,Porter,2.607
/MA,QAc-G-0266,Pryor,Magazine_Pryor_Kessler,99.996,Porter,0.003,Sugarloaf,0.001
/MA,QAc-G-0267,Magazine,Magazine_Pryor_Kessler,99.867,Porter,0.133,Sugarloaf,0
/MA,QAc-G-0268,Magazine,Porter,58.975,Magazine_Pryor_Kessler,41.025,Sugarloaf,0
/MA,QAc-G-0269,Magazine,Magazine_Pryor_Kessler,99.987,Porter,0.012,Sugarloaf,0.001
/MA,QAc-G-0270,Porter,Porter,58.685,Sugarloaf,40.03,Magazine_Pryor_Kessler,1.285
/MA,QAc-G-0271,Porter,Porter,99.961,Magazine_Pryor_Kessler,0.038,Sugarloaf,0.001
/MA,QAc-G-0273,Magazine,Magazine_Pryor_Kessler,99.657,Porter,0.343,Sugarloaf,0
/MA,QAc-G-0274,Pryor ,Porter,85.818,Magazine_Pryor_Kessler,14.182,Sugarloaf,0
/Peckerwood,QAc-G-0251,Porter,Sugarloaf,94.455,Magazine_Pryor_Kessler,5.545,Porter,0
/Peckerwood,QAc-G-0252,Porter,Magazine_Pryor_Kessler,98.662,Porter,0.769,Sugarloaf,0.569
/Peckerwood,QAc-G-0253,Pryor,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/Peckerwood,QAc-G-0254,Pryor,Magazine_Pryor_Kessler,99.957,Porter,0.043,Sugarloaf,0
/Peckerwood,QAc-G-0255,Magazine,Magazine_Pryor_Kessler,99.977,Porter,0.023,Sugarloaf,0
/Peckerwood,QAc-G-0256,Magazine,Magazine_Pryor_Kessler,99.997,Porter,0.003,Sugarloaf,0
/Peckerwood,QAc-G-0257,Magazine,Magazine_Pryor_Kessler,99.998,Sugarloaf,0.002,Porter,0
/Peckerwood,QAc-G-0259,Magazine,Magazine_Pryor_Kessler,73.617,Sugarloaf,26.371,Porter,0.012
/Peckerwood,QAc-G-0260,Magazine,Magazine_Pryor_Kessler,73.562,Porter,26.43,Sugarloaf,0.008
/Peckerwood,QAc-G-0261,Magazine,Magazine_Pryor_Kessler,99.998,Porter,0.002,Sugarloaf,0
/TMA,QAc-G-0010,,Magazine_Pryor_Kessler,99.814,Porter,0.112,Sugarloaf,0.073
/TMA,QAc-G-0011,,Magazine_Pryor_Kessler,96.934,Sugarloaf,2.606,Porter,0.46
/TMA,QAc-G-0015,,Magazine_Pryor_Kessler,99.19,Sugarloaf,0.805,Porter,0.006
/TMA,QAc-G-0106,,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/TMA,QAc-G-0109,Magazine,Magazine_Pryor_Kessler,100,Sugarloaf,0,Porter,0
/TMA,QAc-G-0111,Magazine,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/TMA,QAc-G-0114,Magazine,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/TMA,QAc-G-0115,Magazine,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/TMA,QAc-G-0117,Magazine,Porter,99.882,Magazine_Pryor_Kessler,0.118,Sugarloaf,0
/TMA,QAc-G-0120,Magazine,Magazine_Pryor_Kessler,99.974,Porter,0.024,Sugarloaf,0.002
/TMA,QAc-G-0121,Magazine,Magazine_Pryor_Kessler,99.959,Porter,0.041,Sugarloaf,0
/TMA,QAc-G-0122,Magazine,Porter,99.882,Magazine_Pryor_Kessler,0.118,Sugarloaf,0
/TMA,QAc-G-0125,Magazine,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/TMA,QAc-G-0126,Magazine,Magazine_Pryor_Kessler,96.489,Porter,3.511,Sugarloaf,0
/TMA,QAc-G-0127,Magazine,Porter,97.86,Magazine_Pryor_Kessler,2.14,Sugarloaf,0
/TMA,QAc-G-0137,Magazine,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/TMA,QAc-G-0141,Magazine,Magazine_Pryor_Kessler,49.795,Sugarloaf,46.716,Porter,3.489
/TMA,QAc-G-0143,Magazine,Magazine_Pryor_Kessler,99.35,Porter,0.554,Sugarloaf,0.096
/TMA,QAc-G-0145,Magazine,Magazine_Pryor_Kessler,99.187,Porter,0.806,Sugarloaf,0.007
/TMA,QAc-G-0147,Magazine,Sugarloaf,99.656,Magazine_Pryor_Kessler,0.341,Porter,0.003
/TMA,QAc-G-0148,Magazine,Magazine_Pryor_Kessler,87.14,Porter,12.856,Sugarloaf,0.004
/TMA,QAc-G-0150,Magazine,Magazine_Pryor_Kessler,98.256,Porter,1.72,Sugarloaf,0.024
/TMA,QAc-G-0162,Magazine,Magazine_Pryor_Kessler,93.991,Porter,5.918,Sugarloaf,0.091
/TMA,QAc-G-0165,Magazine,Magazine_Pryor_Kessler,99.225,Sugarloaf,0.625,Porter,0.149
/TMA,QAc-G-0167,Magazine,Magazine_Pryor_Kessler,98.592,Porter,1.407,Sugarloaf,0.001
/TMA,QAc-G-0174,Magazine,Porter,70.458,Magazine_Pryor_Kessler,29.542,Sugarloaf,0
/TMA,QAc-G-0188,Magazine,Porter,34.834,Magazine_Pryor_Kessler,34.32,Sugarloaf,30.846
/TMA,QAc-G-0207,Pryor,Magazine_Pryor_Kessler,99.997,Porter,0.003,Sugarloaf,0
/TMA,QAc-G-0213,Pryor,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/TMA,QAc-G-0216,Pryor,Magazine_Pryor_Kessler,99.964,Porter,0.036,Sugarloaf,0
/TMA,QAc-G-0217,Pryor,Magazine_Pryor_Kessler,97.099,Sugarloaf,2.9,Porter,0.001
/TMA,QAc-G-0227,Porter,Magazine_Pryor_Kessler,99.971,Porter,0.027,Sugarloaf,0.002
/TMA,QAc-G-0228,Porter,Magazine_Pryor_Kessler,97.538,Sugarloaf,2.099,Porter,0.363
/TMA,QAc-G-0229,Porter,Magazine_Pryor_Kessler,75.479,Porter,24.51,Sugarloaf,0.011
/TMA,QAc-G-0230,Porter,Porter,71.868,Magazine_Pryor_Kessler,28.127,Sugarloaf,0.005
/TMA,QAc-G-0232,Porter,Porter,99.934,Magazine_Pryor_Kessler,0.063,Sugarloaf,0.003
/TMA,QAc-G-0233,Porter,Magazine_Pryor_Kessler,100,Porter,0,Sugarloaf,0
/TMA,QAc-G-0234,Porter,Porter,99.96,Magazine_Pryor_Kessler,0.036,Sugarloaf,0.004
/TMA,QAc-G-0236,Porter,Magazine_Pryor_Kessler,99.607,Porter,0.355,Sugarloaf,0.037
/TMA,QAc-G-0237,Porter,Porter,44.914,Sugarloaf,37.922,Magazine_Pryor_Kessler,17.164
/TMA,QAc-G-0241,Porter,Magazine_Pryor_Kessler,98.324,Porter,1.586,Sugarloaf,0.091
/TMA,QAc-G-0243,Porter,Magazine_Pryor_Kessler,77.168,Porter,22.831,Sugarloaf,0.001
/TMA,QAc-G-0248,,Magazine_Pryor_Kessler,99.997,Porter,0.002,Sugarloaf,0
/Trompenburg,QAc-G-0249,,Magazine_Pryor_Kessler,99.759,Porter,0.213,Sugarloaf,0.028
/USNA,QAc-G-0025,Magazine,Magazine_Pryor_Kessler,100,Sugarloaf,0,Porter,0
/USNA,QAc-G-0028,Magazine,Magazine_Pryor_Kessler,84.477,Porter,15.222,Sugarloaf,0.302
/UWBG,QAc-G-0275,,Magazine_Pryor_Kessler,99.998,Porter,0.002,Sugarloaf,0
/Plze,QAc-G-0263,,Magazine_Pryor_Kessler,91.403,Sugarloaf,8.191,Porter,0.406
